concept,gloss
a moment ago,A-MOMENT-AGO1^
a whole lot,A-WHOLE-LOT1^
aachen,AACHEN3^
above,ABOVE1^
absolute,ABSOLUTE1^
absolutely,ABSOLUTELY1^
active,ACTIVE1^
addiction,ADDICTION1^
affected,AFFECTED2^
afterwards,AFTERWARDS1A^
against,AGAINST1^
agency,AGENCY2^
agreed,AGREED1^
aids,AIDS1^
air,AIR1^
airplane,AIRPLANE1^
all,ALL1A^
allowed,ALLOWED2A^
almost,ALMOST2^
alone,ALONE1A^
always,ALWAYS1A^
america,AMERICA1^
amount,AMOUNT1A^
angle,ANGLE1^
animal,ANIMAL1A^
answer,ANSWER1^
apartment,APARTMENT1B^
apology,APOLOGY1^
appearance face,APPEARANCE-FACE1A^
apprentice,APPRENTICE1A^
approximately,APPROXIMATELY1^
april,APRIL2^
apron,APRON1^
area,AREA1A^
area hand,AREA-HAND1B^
arm,ARM1B^
articulation,ARTICULATION1^
as,AS2B^
as or than,AS-OR-THAN1^
asl,ASL1^
assembly line,ASSEMBLY-LINE1^
at home,AT-HOME1A^
athletics,ATHLETICS1^
atrocious,ATROCIOUS1^
attack,ATTACK1^
attention,ATTENTION1A^
augsburg,AUGSBURG1B^
august,AUGUST2^
australia,AUSTRALIA1^
autism,AUTISM1^
autumn,AUTUMN1A^
award,AWARD2^
away,AWAY1^
baby,BABY1^
back,BACK1A^
back and forth,BACK-AND-FORTH1^
bad,BAD1^
bad or stale,BAD-OR-STALE2B^
balance,BALANCE1A^
ball sphere,BALL-SPHERE1A^
bandage,BANDAGE6^
bank,BANK1^
bavaria,BAVARIA1^
beak,BEAK1^
beard,BEARD2A^
beard pointed,BEARD-POINTED3A^
been,BEEN1^
beer,BEER1^
before,BEFORE1A^
beginning,BEGINNING1B^
bell,BELL1A^
belly,BELLY1^
belt,BELT1^
berlin,BERLIN1A^
big,BIG11^
biology,BIOLOGY1^
birth,BIRTH1A^
birthday,BIRTHDAY4^
bit,BIT1B^
bitter,BITTER1^
blind,BLIND1A^
blood,BLOOD1A^
blood pressure,BLOOD-PRESSURE2^
blow,BLOW1^
blue lights,BLUE-LIGHTS1^
blurry,BLURRY1A^
bochum,BOCHUM1^
body,BODY1^
body feeling,BODY-FEELING1^
bonkers,BONKERS1^
bonn,BONN2^
bookshelf,BOOKSHELF1A^
border,BORDER1A^
boredom,BOREDOM1^
both,BOTH1^
bouquet,BOUQUET1^
bow,BOW3A^
boy,BOY1^
brain,BRAIN1A^
brand,BRAND2^
bread,BREAD4^
break down,BREAK-DOWN1A^
breast,BREAST4A^
breathing,BREATHING1^
bremen,BREMEN1^
bridge,BRIDGE1A^
bright,BRIGHT1^
brothel,BROTHEL1^
brown,BROWN47^
