concept,gloss
αγαπω,ΑΓΑΠΩ
αγγιζω,ΑΓΓΙΖΩ
αγγλια,ΑΓΓΛΙΑ
αγελαδα,ΑΓΕΛΑΔΑ
αγνοω,ΑΓΝΟΩ
αγνωστος,ΑΓΝΩΣΤΟΣ
αγορα,ΑΓΟΡΑ
αγοραζω,ΑΓΟΡΑΖΩ
αγορι,ΑΓΟΡΙ
αγριος,ΑΓΡΙΟΣ
αγωγος,ΑΓΩΓΟΣ
αδεια,ΑΔΕΙΑ
αδειαζω,ΑΔΕΙΑΖΩ
αδειος,ΑΔΕΙΟΣ
αδελφος,ΑΔΕΛΦΟΣ
αερας,ΑΕΡΑΣ
αεριο,ΑΕΡΙΟ
αθηνα,ΑΘΗΝΑ
αθωος,ΑΘΩΟΣ
αιθουσα,ΑΙΘΟΥΣΑ
αιμα,ΑΙΜΑ
αισθανομαι,ΑΙΣΘΑΝΟΜΑΙ
αιτια,ΑΙΤΙΑ
αιωνας,ΑΙΩΝΑΣ
ακαταστασια,ΑΚΑΤΑΣΤΑΣΙΑ
ακολουθω,ΑΚΟΛΟΥΘΩ
ακουω,ΑΚΟΥΩ
ακριβος,ΑΚΡΙΒΟΣ
ακρογιαλια,ΑΚΡΟΓΙΑΛΙΑ
ακυρωνω,ΑΚΥΡΩΝΩ
αλατι,ΑΛΑΤΙ
αλευρι,ΑΛΕΥΡΙ
αληθεια,ΑΛΗΘΕΙΑ
αληθινος,ΑΛΗΘΙΝΟΣ
αλλα,ΑΛΛΑ
αλλαζω,ΑΛΛΑΖΩ
αλληλογραφια,ΑΛΛΗΛΟΓΡΑΦΙΑ
αλλος,ΑΛΛΟΣ
αλυσιδα,ΑΛΥΣΙΔΑ
αμφιβαλλω,ΑΜΦΙΒΑΛΛΩ
αν,ΑΝ
αναβαλλω,ΑΝΑΒΑΛΛΩ
αναβω,ΑΝΑΒΩ
αναγγελια,ΑΝΑΓΓΕΛΙΑ
αναμεσα,ΑΝΑΜΕΣΑ
αναστατωνω,ΑΝΑΣΤΑΤΩΝΩ
ανατολη,ΑΝΑΤΟΛΗ
ανατολικα,ΑΝΑΤΟΛΙΚΑ
αναχωρηση,ΑΝΑΧΩΡΗΣΗ
ανετος,ΑΝΕΤΟΣ
ανεχομαι,ΑΝΕΧΟΜΑΙ
ανησυχω,ΑΝΗΣΥΧΩ
ανηφορος,ΑΝΗΦΟΡΟΣ
ανθρωπος,ΑΝΘΡΩΠΟΣ
ανοητος,ΑΝΟΗΤΟΣ
ανοιγω,ΑΝΟΙΓΩ
ανοιξη,ΑΝΟΙΞΗ
ανοιχτομυαλος,ΑΝΟΙΧΤΟΜΥΑΛΟΣ
ανταλλασω,ΑΝΤΑΛΛΑΣΩ
αντιγραφο,ΑΝΤΙΓΡΑΦΟ
