concept,gloss
a droite,A_DROITE
a pied,A_PIED
accepter,ACCEPTER
aiguille,AIGUILLE
alcool,ALCOOL
ame,AME
amere,AMERE
apres,APRES
apres midi,APRES_MIDI 
au dessous,AU_DESSOUS
avoir soif,AVOIR_SOIF
bas,BAS
blessure,BLESSURE
briller,BRILLER
but,BUT
confortable,CONFORTABLE
connaissance,CONNAISSANCE
connaitre,CONNAITRE_
copie,COPIE
couleur,COULEUR
courant,COURANT
cuisine liste,CUISINE_+_LISTE
d accord,D_ACCORD_
derober,DEROBER
diviser,DIVISER
double,DOUBLE
echanger,ECHANGER
echelle,ECHELLE
ecole,ECOLE
ecouter,ECOUTER
ecrire,ECRIRE
eglise,EGLISE
election,ELECTION
electrique,ELECTRIQUE
eleve,ELEVE
entier,ENTIER
erreur,ERREUR
etage,ETAGE
etagere,ETAGERE
etat,ETAT
ete,ETE_
etoile,ETOILE
etre impressionne,ETRE_IMPRESSIONNE
etroit,ETROIT
etudiant,ETUDIANT
etudier,ETUDIER
etui,ETUI
exetera,EXETERA
faire un pas,FAIRE_UN_PAS
feuille,FEUILLE
file,FILE
fin,FIN
force,FORCE
fourchette,FOURCHETTE
france,FRANCE_
frappe,FRAPPE
frere,FRERE
froid,FROID
fromage,FROMAGE
frontieres,FRONTIERES
froussard,FROUSSARD
fruit,FRUIT
fumer,FUMER
fusil,FUSIL
futur,FUTUR
gens,GENS
grain de raisin,GRAIN DE RAISIN
guerir,GUERIR_
ici,ICI
idee,IDEE
ile,ILE
inconnu,INCONNU_
juste,JUSTE
kiosque,KIOSQUE
lac,LAC
lacher,LACHER
laisser,LAISSER
large,LARGE
leger,LEGER
lettre,LETTRE
lettre alphabet,LETTRE_alphabet
lit,LIT
litterature,LITTERATURE
livre,LIVRE_
marche soldat,MARCHE_+_SOLDAT
meteo,METEO
objection,OBJECTION
offrir,OFFRIR
ou etranger,OU_+_ETRANGER
page,PAGE
pain,PAIN
paix,PAIX
pantalon,PANTALON
papier,PAPIER
paquet,PAQUET
parapluie,PARAPLUIE
pardonner,PARDONNER
pareil precis,PAREIL_+_PRECIS
parents,PARENTS
parfois,PARFOIS
paris,PARIS_
parler,PARLER
partager,PARTAGER
partout,PARTOUT
passe,PASSE
patience,PATIENCE
patisserie,PATISSERIE
paume,PAUME
pause,PAUSE
pauvre,PAUVRE
payer,PAYER
paysan,PAYSAN
peau,PEAU
peigne,PEIGNE
peindre,PEINDRE
pendant que,PENDANT_QUE
penser,PENSER
penser a qqch,PENSER_A_QQCH
perdre,PERDRE
pere,PERE
performance,PERFORMANCE
personne reussir,PERSONNE_+_REUSSIR
personne travail,PERSONNE_+_TRAVAIL
personne visite,PERSONNE_+_VISITE
personne voyage,PERSONNE_+_VOYAGE
peser,PESER
petit,PETIT
petrole,PETROLE
peu,PEU
peur,PEUR
pharmacie,PHARMACIE
