concept,gloss
avatar,AVATAR_(VINGERSPELLING)
blender,blender
computer b,COMPUTER_B
cook,cook
daarom,DAAROM
dat,DAT
doel,DOEL
doof,DOOF_(ZIJN)_01
exciting,exciting
explode,explode
film,film
four,four
friend,friend
gebaren b,GEBAREN_B
gebarennet,GEBARENNET_02
gemakkelijk,GEMAKKELIJK_02
hier,HIER
in,in
index laag,INDEX_LAAG
index rechts boven,INDEX_RECHTS_BOVEN
informatie,INFORMATIE_(AAN_GEBAARDER)
ingang,INGANG
internet,INTERNET
invite,invite
lijst informatie,LIJST_INFORMATIE
meer,MEER
mensen,MENSEN
mug,mug
natuurlijk,NATUURLIJK
nederland,NEDERLAND
ngt,NGT
om,OM_(TENEINDE)
op,OP_02
orange,orange
pauzegebaar,PAUZEGEBAAR_02
pop,POP
project,PROJECT
pu,PU
put,put
rustgebaar,RUSTGEBAAR
scotland-new,SCOTLAND-new
see,see
soup,soup
splash onto,splash_onto
streven,STREVEN_(NAAR)
taal,TAAL_02
take,take
tell story,tell_story
verandering,VERANDERING_02
via,VIA
video,video
visueel,VISUEEL
wat,WAT
welkom,WELKOM
woman,woman
